"Variable"	"Observation"	"Group"	"Series"	"Measurement"	"Measurement2"
"var08"	"obs398"	"group10"	4	0.782681112643331	0.0059151420602575
"var09"	"obs399"	"group10"	4	0.298293932341039	0.0626654141815379
"var10"	"obs400"	"group10"	4	0.10120964772068	0.0388178975088522
"var01"	"obs401"	"group01"	5	0.921908998163417	0.0797887708060444
"var02"	"obs402"	"group01"	5	0.41952099907212	0.0401352363871411
"var03"	"obs403"	"group01"	5	0.411839547334239	0.047720855451189
"var04"	"obs404"	"group01"	5	0.380567636108026	0.0478294842643663
"var05"	"obs405"	"group01"	5	0.662259985227138	0.0521016730926931
"var06"	"obs406"	"group01"	5	0.937344519421458	0.0366432384587824
"var07"	"obs407"	"group01"	5	0.777924152091146	0.097330485470593
"var08"	"obs408"	"group01"	5	0.0740760886110365	0.0190879941685125
"var09"	"obs409"	"group01"	5	0.0454403650946915	0.0835062485421076
"var10"	"obs410"	"group01"	5	0.13965976703912	0.0952751237200573
"var01"	"obs411"	"group02"	5	0.38489584159106	0.0986945549026132
"var02"	"obs412"	"group02"	5	0.957654339727014	0.0492781544104219
"var03"	"obs413"	"group02"	5	0.664362143026665	0.0213343857089058
"var04"	"obs414"	"group02"	5	0.436826206976548	0.0189131253398955
"var05"	"obs415"	"group02"	5	0.40823922608979	0.0901463514659554
"var06"	"obs416"	"group02"	5	0.942766528809443	0.0349919895175844
"var07"	"obs417"	"group02"	5	0.778938289964572	0.012486441549845
"var08"	"obs418"	"group02"	5	0.700333231827244	0.0953155720606446
"var09"	"obs419"	"group02"	5	0.210589193971828	0.00738466712646186
"var10"	"obs420"	"group02"	5	0.544776961673051	0.0519631595816463
"var01"	"obs421"	"group03"	5	0.765893713571131	0.0712550311349332
"var02"	"obs422"	"group03"	5	0.255394242238253	0.0915789683349431
"var03"	"obs423"	"group03"	5	0.540576383238658	0.0656663923058659
"var04"	"obs424"	"group03"	5	0.89833407336846	0.0221561544807628
"var05"	"obs425"	"group03"	5	0.736705271992832	0.074343240680173
"var06"	"obs426"	"group03"	5	0.36796051915735	0.0134653388056904
"var07"	"obs427"	"group03"	5	0.147080010501668	0.0950384074589238
"var08"	"obs428"	"group03"	5	0.260937107959762	0.0113121652975678
"var09"	"obs429"	"group03"	5	0.782034730771556	0.0333374954992905
"var10"	"obs430"	"group03"	5	0.42037602327764	0.0690101474057883
"var01"	"obs431"	"group04"	5	0.413427381077781	0.00927258299198002
"var02"	"obs432"	"group04"	5	0.8310446604155	0.0968440160155296
"var03"	"obs433"	"group04"	5	0.971664943499491	0.0655043955659494
"var04"	"obs434"	"group04"	5	0.96188531559892	0.0570828687166795
"var05"	"obs435"	"group04"	5	0.959154837066308	0.0092458110768348
"var06"	"obs436"	"group04"	5	0.128355578286573	0.0545842666644603
"var07"	"obs437"	"group04"	5	0.765054598450661	0.0110802428098395
"var08"	"obs438"	"group04"	5	0.266891278326511	0.0219317964278162
"var09"	"obs439"	"group04"	5	0.488889508415014	0.0837083064951003
"var10"	"obs440"	"group04"	5	0.432969239074737	0.0334390429081395
"var01"	"obs441"	"group05"	5	0.0246410435065627	0.0348452031146735
"var02"	"obs442"	"group05"	5	0.81549168471247	0.00631874336395413
"var03"	"obs443"	"group05"	5	0.258509282721207	0.0197335385950282
"var04"	"obs444"	"group05"	5	0.199870472308248	0.0931096500251442
"var05"	"obs445"	"group05"	5	0.246855294099078	0.0594964009476826
"var06"	"obs446"	"group05"	5	0.69697153265588	0.0522315119160339
"var07"	"obs447"	"group05"	5	0.792707190150395	0.00596861881203949
"var08"	"obs448"	"group05"	5	0.950590914580971	0.0296338172862306
"var09"	"obs449"	"group05"	5	0.642775850603357	0.0457315676147118
"var10"	"obs450"	"group05"	5	0.116000755690038	0.0944198599318042
"var01"	"obs451"	"group06"	5	0.563817530870438	0.0584330015117303
"var02"	"obs452"	"group06"	5	0.0965612442232668	0.0892527365591377
"var03"	"obs453"	"group06"	5	0.741697271121666	0.0304230943322182
"var04"	"obs454"	"group06"	5	0.328486369922757	0.0284328212030232
"var05"	"obs455"	"group06"	5	0.458177655003965	0.0430478357942775
"var06"	"obs456"	"group06"	5	0.0457699485123158	0.0353948330739513
"var07"	"obs457"	"group06"	5	0.597197943599895	0.0908865088829771
"var08"	"obs458"	"group06"	5	0.190370018826798	0.0667864462826401
"var09"	"obs459"	"group06"	5	0.202690386446193	0.0191829513059929
"var10"	"obs460"	"group06"	5	0.366535595385358	0.0654357594670728
"var01"	"obs461"	"group07"	5	0.185902802273631	0.0324422414647415
"var02"	"obs462"	"group07"	5	0.952739438973367	0.0482943076407537
"var03"	"obs463"	"group07"	5	0.335166536038741	0.0118210229557008
"var04"	"obs464"	"group07"	5	0.180620019324124	0.0977440087823197
"var05"	"obs465"	"group07"	5	0.345522539224476	0.0538404677994549
"var06"	"obs466"	"group07"	5	0.288287546485662	0.0277529073879123
"var07"	"obs467"	"group07"	5	0.307929463451728	0.0174253049772233
"var08"	"obs468"	"group07"	5	0.997333697974682	0.0424262831220403
"var09"	"obs469"	"group07"	5	0.764635428320616	0.089916593930684
"var10"	"obs470"	"group07"	5	0.642602197593078	0.0871907331747934
"var01"	"obs471"	"group08"	5	0.0961000542156398	0.0613431249512359
"var02"	"obs472"	"group08"	5	0.91970069357194	0.0284314876655117
"var03"	"obs473"	"group08"	5	0.722820792812854	0.0226343638729304
"var04"	"obs474"	"group08"	5	0.853001403389499	0.0674250953132287
"var05"	"obs475"	"group08"	5	0.641505306353793	0.0998377403244376
"var06"	"obs476"	"group08"	5	0.261471156729385	0.0587678139330819
"var07"	"obs477"	"group08"	5	0.586427514208481	0.0499941181391478
"var08"	"obs478"	"group08"	5	0.906771012581885	0.0795514552621171
"var09"	"obs479"	"group08"	5	0.0845818121451885	0.010638843732886
"var10"	"obs480"	"group08"	5	0.219041743548587	0.0174194649560377
"var01"	"obs481"	"group09"	5	0.248616239987314	0.0361958647612482
"var02"	"obs482"	"group09"	5	0.235309804789722	0.0119531244505197
"var03"	"obs483"	"group09"	5	0.945026146946475	0.0614791565574706
"var04"	"obs484"	"group09"	5	0.20930977165699	0.0216178845614195
"var05"	"obs485"	"group09"	5	0.312955353176221	0.0905613002134487
"var06"	"obs486"	"group09"	5	0.278294065501541	0.0220759575720876
"var07"	"obs487"	"group09"	5	0.960566418711096	0.0458549679955468
"var08"	"obs488"	"group09"	5	0.606137476162985	0.0408579253358766
"var09"	"obs489"	"group09"	5	0.0265129408799112	0.0373210996389389
"var10"	"obs490"	"group09"	5	0.345963052473962	0.0186719727469608
"var01"	"obs491"	"group10"	5	0.78854497615248	0.0247106975410134
"var02"	"obs492"	"group10"	5	0.812085502780974	0.0528071610722691
"var03"	"obs493"	"group10"	5	0.0707737023476511	0.0799276672303677
"var04"	"obs494"	"group10"	5	0.482118263840675	0.083674119785428
"var05"	"obs495"	"group10"	5	0.839143358869478	0.0338167479960248
"var06"	"obs496"	"group10"	5	0.432603798341006	0.0163409746717662
"var07"	"obs497"	"group10"	5	0.760181821184233	0.0538426981540397
"var08"	"obs498"	"group10"	5	0.110782835399732	0.0730202453909442
"var09"	"obs499"	"group10"	5	0.61097648832947	0.00961696647573262
"var10"	"obs500"	"group10"	5	0.713685986353084	0.0980192766524851
